Course Code,Section Code,Instructor,Comment Type,Comment Text
IST3005,A,"Afundi, Patrick",Course Text,per week?
IST3005,A,"Afundi, Patrick",Strengths,N/A
IST3005,A,"Afundi, Patrick",Strengths,ok
IST3005,A,"Afundi, Patrick",Strengths,n/a
IST3005,A,"Afundi, Patrick",Strengths,Good
IST3005,A,"Afundi, Patrick",Strengths,Good
IST3005,A,"Afundi, Patrick",Strengths,good
IST3005,A,"Afundi, Patrick",Strengths,N/A
IST3005,A,"Afundi, Patrick",Strengths,.
IST3005,A,"Afundi, Patrick",Strengths,PowerPoints .
IST3005,A,"Afundi, Patrick",Weaknesses,n/a
IST3005,A,"Afundi, Patrick",Weaknesses,N/A
IST3005,A,"Afundi, Patrick",Weaknesses,ok
IST3005,A,"Afundi, Patrick",Weaknesses,n/a
IST3005,A,"Afundi, Patrick",Weaknesses,None
IST3005,A,"Afundi, Patrick",Weaknesses,.
IST3005,A,"Afundi, Patrick",Weaknesses,N/A
IST3005,A,"Afundi, Patrick",Weaknesses,None
IST3005,A,"Afundi, Patrick",Weaknesses,n/a
IST3005,A,"Afundi, Patrick",Weaknesses,Fair
IST3005,A,"Afundi, Patrick",Weaknesses,N/A
IST3005,A,"Afundi, Patrick",Weaknesses,n/a
IST3005,A,"Afundi, Patrick",Weaknesses,good
IST3005,A,"Afundi, Patrick",Weaknesses,nil
IST3005,A,"Afundi, Patrick",Weaknesses,NONE
IST3005,A,"Afundi, Patrick",Weaknesses,N/A
IST3005,A,"Afundi, Patrick",Weaknesses,Excellent
IST3005,A,"Afundi, Patrick",Weaknesses,none
IST3005,A,"Afundi, Patrick",Weaknesses,.
IST3005,A,"Afundi, Patrick",Weaknesses,none
IST3005,A,"Afundi, Patrick",Weaknesses,Na
IST3005,A,"Afundi, Patrick",Weaknesses,n/a
IST3005,A,"Afundi, Patrick",Suggestions,improve his/her teaching in this course.
IST3005,A,"Afundi, Patrick",Suggestions,n/a
IST3005,A,"Afundi, Patrick",Suggestions,none
IST3005,A,"Afundi, Patrick",Suggestions,none
IST3005,A,"Afundi, Patrick",Suggestions,Na
IST3005,A,"Afundi, Patrick",Suggestions,nil
IST3005,A,"Afundi, Patrick",Suggestions,none
IST3005,A,"Afundi, Patrick",Suggestions,N/A
IST3005,A,"Afundi, Patrick",Suggestions,N/A
IST3005,A,"Afundi, Patrick",Suggestions,Good
IST3005,A,"Afundi, Patrick",Suggestions,Good
IST3005,A,"Afundi, Patrick",Suggestions,N/A
IST3005,A,"Afundi, Patrick",Suggestions,ok
IST3005,A,"Afundi, Patrick",Suggestions,None
IST3005,A,"Afundi, Patrick",Suggestions,NONE
IST3005,A,"Afundi, Patrick",Suggestions,None
IST3005,A,"Afundi, Patrick",Suggestions,good
IST3005,A,"Afundi, Patrick",Suggestions,.
IST3005,A,"Afundi, Patrick",Suggestions,n/a
IST3005,A,"Afundi, Patrick",Suggestions,Uploading material on blackboard so students can use it as a guide when studying outside class .
IST3005,A,"Afundi, Patrick",Suggestions,n/a
IST3005,A,"Afundi, Patrick",Feedback Evaluation,Excellent
IST3005,A,"Afundi, Patrick",Feedback Evaluation,Good
IST3005,A,"Afundi, Patrick",Feedback Evaluation,fair
IST3005,A,"Afundi, Patrick",Feedback Evaluation,good
IST3005,A,"Afundi, Patrick",Feedback Evaluation,None
IST3005,A,"Afundi, Patrick",Feedback Evaluation,ok
IST3005,A,"Afundi, Patrick",Feedback Evaluation,GOOD
IST3005,A,"Afundi, Patrick",Feedback Evaluation,None
IST3005,A,"Afundi, Patrick",Feedback Evaluation,good
IST3005,A,"Afundi, Patrick",Feedback Evaluation,N/A
IST3005,A,"Afundi, Patrick",Feedback Evaluation,n/a
IST3005,A,"Afundi, Patrick",Feedback Evaluation,Good
IST3005,A,"Afundi, Patrick",Feedback Evaluation,.
IST3005,A,"Afundi, Patrick",Feedback Evaluation,N/A
IST3005,A,"Afundi, Patrick",Feedback Evaluation,n/a
IST3005,A,"Afundi, Patrick",Feedback Evaluation,hard but
IST3005,A,"Afundi, Patrick",Feedback Evaluation,fair
IST3005,A,"Afundi, Patrick",Feedback Evaluation,.
IST3005,A,"Afundi, Patrick",Feedback Evaluation,Poor
IST3005,A,"Afundi, Patrick",Course Text,WELL DONE amazing .
IST3005,A,"Afundi, Patrick",Course Text,good
IST3005,A,"Afundi, Patrick",Course Text,.
IST3005,A,"Afundi, Patrick",Course Text,n/a
IST3005,A,"Afundi, Patrick",Course Text,Good
IST3005,A,"Afundi, Patrick",Course Text,N/A
IST3005,A,"Afundi, Patrick",Course Text,nil
IST3005,A,"Afundi, Patrick",Course Text,good
IST3005,A,"Afundi, Patrick",Course Text,ok
IST3005,A,"Afundi, Patrick",Course Text,None
IST3005,A,"Afundi, Patrick",Course Text,n/a
IST3005,A,"Afundi, Patrick",Course Text,good
IST3005,A,"Afundi, Patrick",Course Text,None
IST3005,A,"Afundi, Patrick",Course Text,good
IST3005,A,"Afundi, Patrick",Course Text,Good
IST3005,A,"Afundi, Patrick",Course Text,Good
IST3005,A,"Afundi, Patrick",Course Text,good
IST3005,A,"Afundi, Patrick",Course Text,Good
IST3005,A,"Afundi, Patrick",Course Text,N/A
IST3005,A,"Afundi, Patrick",Resources,N/A
IST3005,A,"Afundi, Patrick",Resources,should be added to support your learning?
IST3005,A,"Afundi, Patrick",Resources,Na
IST3005,A,"Afundi, Patrick",Resources,n/a
IST3005,A,"Afundi, Patrick",Resources,ok
IST3005,A,"Afundi, Patrick",Resources,.
IST3005,A,"Afundi, Patrick",Resources,N/A
IST3005,A,"Afundi, Patrick",Resources,none
IST3005,A,"Afundi, Patrick",Resources,.
IST3005,A,"Afundi, Patrick",Resources,none
IST3005,A,"Afundi, Patrick",Resources,n/a
IST3005,A,"Afundi, Patrick",Resources,NONE
IST3005,A,"Afundi, Patrick",Resources,None
IST3005,A,"Afundi, Patrick",Resources,None
IST3005,A,"Afundi, Patrick",Resources,nil
IST3005,A,"Afundi, Patrick",Resources,N/A
IST3005,A,"Afundi, Patrick",Resources,N/A
IST3005,A,"Afundi, Patrick",Resources,n/a
IST3005,A,"Afundi, Patrick",Resources,n/a
IST3005,A,"Afundi, Patrick",Resources,None
IST3005,A,"Afundi, Patrick",Resources,Excellent
IST3005,A,"Afundi, Patrick",Resources,good
IST3005,A,"Afundi, Patrick",Resources,none
IST3005,A,"Afundi, Patrick",Resources,None
IST3005,A,"Afundi, Patrick",Overall,ok
IST3005,A,"Afundi, Patrick",Overall,n/a
IST3005,A,"Afundi, Patrick",Overall,good
IST3005,A,"Afundi, Patrick",Overall,good
IST3005,A,"Afundi, Patrick",Overall,Good
IST3005,A,"Afundi, Patrick",Overall,N/A
IST3005,A,"Afundi, Patrick",Overall,Good
IST3005,A,"Afundi, Patrick",Overall,great .
IST3005,A,"Afundi, Patrick",Overall,Excellent
IST3005,A,"Afundi, Patrick",Overall,Good
IST3005,A,"Afundi, Patrick",Overall,good
IST3005,A,"Afundi, Patrick",Overall,Good
IST3005,A,"Afundi, Patrick",Course Text,Good
IST3005,A,"Afundi, Patrick",Course Text,Good
IST3005,A,"Afundi, Patrick",Course Text,excellent
IST3005,A,"Afundi, Patrick",Course Text,nil
IST3005,A,"Afundi, Patrick",Course Text,Good
IST3005,A,"Afundi, Patrick",Course Text,Excellent
IST3005,A,"Afundi, Patrick",Course Text,GOOD
IST3005,A,"Afundi, Patrick",Course Text,ok
IST2040,B,"Afundi, Patrick",Course Text,hours or by appointment.
IST2040,B,"Afundi, Patrick",Course Text,per week?
IST2040,B,"Afundi, Patrick",Strengths,Ok
IST2040,B,"Afundi, Patrick",Strengths,Good
IST2040,B,"Afundi, Patrick",Strengths,Timing hands on application of IT programs and systems All areas were relevant to my area of study .
IST2040,B,"Afundi, Patrick",Strengths,Good
IST2040,B,"Afundi, Patrick",Weaknesses,Ok
IST2040,B,"Afundi, Patrick",Weaknesses,.
IST2040,B,"Afundi, Patrick",Weaknesses,None
IST2040,B,"Afundi, Patrick",Weaknesses,Good
IST2040,B,"Afundi, Patrick",Weaknesses,None
IST2040,B,"Afundi, Patrick",Weaknesses,None
IST2040,B,"Afundi, Patrick",Weaknesses,None
IST2040,B,"Afundi, Patrick",Weaknesses,None
IST2040,B,"Afundi, Patrick",Weaknesses,none
IST2040,B,"Afundi, Patrick",Weaknesses,N/A
IST2040,B,"Afundi, Patrick",Suggestions,improve his/her teaching in this course.
IST2040,B,"Afundi, Patrick",Suggestions,N/A
IST2040,B,"Afundi, Patrick",Suggestions,None
IST2040,B,"Afundi, Patrick",Suggestions,none
IST2040,B,"Afundi, Patrick",Suggestions,None
IST2040,B,"Afundi, Patrick",Suggestions,Good
IST2040,B,"Afundi, Patrick",Suggestions,None
IST2040,B,"Afundi, Patrick",Suggestions,None
IST2040,B,"Afundi, Patrick",Suggestions,Ok
IST2040,B,"Afundi, Patrick",Suggestions,n/a
IST2040,B,"Afundi, Patrick",Feedback Evaluation,Good
IST2040,B,"Afundi, Patrick",Feedback Evaluation,Fair
IST2040,B,"Afundi, Patrick",Feedback Evaluation,.
IST2040,B,"Afundi, Patrick",Feedback Evaluation,excellent
IST2040,B,"Afundi, Patrick",Feedback Evaluation,Good
IST2040,B,"Afundi, Patrick",Feedback Evaluation,Ok
IST2040,B,"Afundi, Patrick",Feedback Evaluation,Good
IST2040,B,"Afundi, Patrick",Feedback Evaluation,Good
IST2040,B,"Afundi, Patrick",Feedback Evaluation,Excellent
IST2040,B,"Afundi, Patrick",Feedback Evaluation,GOOD
IST2040,B,"Afundi, Patrick",Feedback Evaluation,fair
IST2040,B,"Afundi, Patrick",Course Text,Good
IST2040,B,"Afundi, Patrick",Course Text,Good
IST2040,B,"Afundi, Patrick",Course Text,.
IST2040,B,"Afundi, Patrick",Course Text,Fair
IST2040,B,"Afundi, Patrick",Course Text,N/A
IST2040,B,"Afundi, Patrick",Course Text,Ok
IST2040,B,"Afundi, Patrick",Course Text,Good
IST2040,B,"Afundi, Patrick",Course Text,ok
IST2040,B,"Afundi, Patrick",Course Text,Good
IST2040,B,"Afundi, Patrick",Resources,Books on lab exercises should be added to support your learning?
IST2040,B,"Afundi, Patrick",Resources,none
IST2040,B,"Afundi, Patrick",Resources,None
IST2040,B,"Afundi, Patrick",Resources,Good
IST2040,B,"Afundi, Patrick",Resources,N/A
IST2040,B,"Afundi, Patrick",Resources,assessments in class .
IST2040,B,"Afundi, Patrick",Resources,None
IST2040,B,"Afundi, Patrick",Resources,n/a
IST2040,B,"Afundi, Patrick",Resources,Ok
IST2040,B,"Afundi, Patrick",Resources,N/A
IST2040,B,"Afundi, Patrick",Overall,Good
IST2040,B,"Afundi, Patrick",Overall,GOOD
IST2040,B,"Afundi, Patrick",Overall,Excellent
IST2040,B,"Afundi, Patrick",Overall,Excellent
IST2040,B,"Afundi, Patrick",Overall,Ok
IST2040,B,"Afundi, Patrick",Overall,Excellent
IST2040,B,"Afundi, Patrick",Overall,and well informed .
IST2040,B,"Afundi, Patrick",Overall,good
IST2040,B,"Afundi, Patrick",Overall,Good
IST2040,B,"Afundi, Patrick",Overall,Fair
APT1040,A,"Afundi, Patrick",Overall,hours or by appointment.
APT1040,A,"Afundi, Patrick",Course Text,per week?
APT1040,A,"Afundi, Patrick",Strengths,N/A
APT1040,A,"Afundi, Patrick",Strengths,a lot of practical assignments Uses simple to understand examples while teaching all lessons ...
APT1040,A,"Afundi, Patrick",Strengths,None
APT1040,A,"Afundi, Patrick",Strengths,N/A
APT1040,A,"Afundi, Patrick",Strengths,Practice .
APT1040,A,"Afundi, Patrick",Strengths,good
APT1040,A,"Afundi, Patrick",Strengths,NA
APT1040,A,"Afundi, Patrick",Strengths,good
APT1040,A,"Afundi, Patrick",Strengths,N/A
APT1040,A,"Afundi, Patrick",Strengths,good
APT1040,A,"Afundi, Patrick",Strengths,N/A
APT1040,A,"Afundi, Patrick",Strengths,...
APT1040,A,"Afundi, Patrick",Strengths,GOOD
APT1040,A,"Afundi, Patrick",Strengths,The use of real life examples and the teaching methodology makes the class very interesting and fun.
APT1040,A,"Afundi, Patrick",Strengths,n/a
APT1040,A,"Afundi, Patrick",Strengths,None
APT1040,A,"Afundi, Patrick",Weaknesses,None
APT1040,A,"Afundi, Patrick",Weaknesses,N/A
APT1040,A,"Afundi, Patrick",Weaknesses,n/a
APT1040,A,"Afundi, Patrick",Weaknesses,GOOD
APT1040,A,"Afundi, Patrick",Weaknesses,N/A
APT1040,A,"Afundi, Patrick",Weaknesses,None
APT1040,A,"Afundi, Patrick",Weaknesses,N/A
APT1040,A,"Afundi, Patrick",Weaknesses,none
APT1040,A,"Afundi, Patrick",Weaknesses,NA
APT1040,A,"Afundi, Patrick",Weaknesses,good
APT1040,A,"Afundi, Patrick",Weaknesses,N/A
APT1040,A,"Afundi, Patrick",Weaknesses,good
APT1040,A,"Afundi, Patrick",Weaknesses,...
APT1040,A,"Afundi, Patrick",Weaknesses,None
APT1040,A,"Afundi, Patrick",Weaknesses,none
APT1040,A,"Afundi, Patrick",Weaknesses,none
APT1040,A,"Afundi, Patrick",Weaknesses,n/a
APT1040,A,"Afundi, Patrick",Weaknesses,None
APT1040,A,"Afundi, Patrick",Weaknesses,N/A
APT1040,A,"Afundi, Patrick",Weaknesses,None
APT1040,A,"Afundi, Patrick",Weaknesses,good
APT1040,A,"Afundi, Patrick",Weaknesses,.
APT1040,A,"Afundi, Patrick",Weaknesses,None
APT1040,A,"Afundi, Patrick",Weaknesses,....
APT1040,A,"Afundi, Patrick",Weaknesses,none
APT1040,A,"Afundi, Patrick",Weaknesses,None
APT1040,A,"Afundi, Patrick",Weaknesses,.
APT1040,A,"Afundi, Patrick",Weaknesses,None
APT1040,A,"Afundi, Patrick",Suggestions,improve his/her teaching in this course.
APT1040,A,"Afundi, Patrick",Suggestions,k ...
APT1040,A,"Afundi, Patrick",Suggestions,N/A
APT1040,A,"Afundi, Patrick",Suggestions,good
APT1040,A,"Afundi, Patrick",Suggestions,N/A
APT1040,A,"Afundi, Patrick",Suggestions,none
APT1040,A,"Afundi, Patrick",Suggestions,None
APT1040,A,"Afundi, Patrick",Suggestions,good
APT1040,A,"Afundi, Patrick",Suggestions,None
APT1040,A,"Afundi, Patrick",Suggestions,.
APT1040,A,"Afundi, Patrick",Suggestions,NA
APT1040,A,"Afundi, Patrick",Suggestions,n/a
APT1040,A,"Afundi, Patrick",Suggestions,n A more one on one assessment in the following coding languages instead of just letting us figure it out ourselves.
APT1040,A,"Afundi, Patrick",Suggestions,N/A
APT1040,A,"Afundi, Patrick",Suggestions,None
APT1040,A,"Afundi, Patrick",Suggestions,n/a
APT1040,A,"Afundi, Patrick",Suggestions,none
APT1040,A,"Afundi, Patrick",Suggestions,...
APT1040,A,"Afundi, Patrick",Suggestions,N/A
APT1040,A,"Afundi, Patrick",Suggestions,.
APT1040,A,"Afundi, Patrick",Suggestions,N/A
APT1040,A,"Afundi, Patrick",Suggestions,GOOD
APT1040,A,"Afundi, Patrick",Suggestions,none
APT1040,A,"Afundi, Patrick",Feedback Evaluation,Good
APT1040,A,"Afundi, Patrick",Feedback Evaluation,N/A
APT1040,A,"Afundi, Patrick",Feedback Evaluation,NA
APT1040,A,"Afundi, Patrick",Feedback Evaluation,good
APT1040,A,"Afundi, Patrick",Feedback Evaluation,good
APT1040,A,"Afundi, Patrick",Feedback Evaluation,Good
APT1040,A,"Afundi, Patrick",Feedback Evaluation,Poor
APT1040,A,"Afundi, Patrick",Feedback Evaluation,Excellent
APT1040,A,"Afundi, Patrick",Feedback Evaluation,good
APT1040,A,"Afundi, Patrick",Feedback Evaluation,N/A
APT1040,A,"Afundi, Patrick",Feedback Evaluation,good
APT1040,A,"Afundi, Patrick",Feedback Evaluation,n/a
APT1040,A,"Afundi, Patrick",Feedback Evaluation,good
APT1040,A,"Afundi, Patrick",Feedback Evaluation,GOOD
APT1040,A,"Afundi, Patrick",Feedback Evaluation,N/A
APT1040,A,"Afundi, Patrick",Feedback Evaluation,The assignments helped me expand my knowledge and the exams were satisfactory.
APT1040,A,"Afundi, Patrick",Feedback Evaluation,Excellent
APT1040,A,"Afundi, Patrick",Feedback Evaluation,...
APT1040,A,"Afundi, Patrick",Feedback Evaluation,good
APT1040,A,"Afundi, Patrick",Feedback Evaluation,N/A
APT1040,A,"Afundi, Patrick",Feedback Evaluation,good
APT1040,A,"Afundi, Patrick",Feedback Evaluation,..
APT1040,A,"Afundi, Patrick",Feedback Evaluation,good
APT1040,A,"Afundi, Patrick",Feedback Evaluation,on time .....
APT1040,A,"Afundi, Patrick",Feedback Evaluation,good
APT1040,A,"Afundi, Patrick",Feedback Evaluation,good
APT1040,A,"Afundi, Patrick",Course Text,N/A
APT1040,A,"Afundi, Patrick",Course Text,NA
APT1040,A,"Afundi, Patrick",Course Text,good
APT1040,A,"Afundi, Patrick",Course Text,good
APT1040,A,"Afundi, Patrick",Course Text,None
APT1040,A,"Afundi, Patrick",Course Text,good
APT1040,A,"Afundi, Patrick",Course Text,Good
APT1040,A,"Afundi, Patrick",Course Text,N/A
APT1040,A,"Afundi, Patrick",Course Text,good
APT1040,A,"Afundi, Patrick",Course Text,good
APT1040,A,"Afundi, Patrick",Course Text,The course text has a lot of interesting content and it has expanded my knowledge on web design.
APT1040,A,"Afundi, Patrick",Course Text,n/a
APT1040,A,"Afundi, Patrick",Course Text,good
APT1040,A,"Afundi, Patrick",Course Text,Poor
APT1040,A,"Afundi, Patrick",Course Text,...
APT1040,A,"Afundi, Patrick",Course Text,N/A
APT1040,A,"Afundi, Patrick",Course Text,GOOD
APT1040,A,"Afundi, Patrick",Course Text,.
APT1040,A,"Afundi, Patrick",Course Text,Good
APT1040,A,"Afundi, Patrick",Course Text,...
APT1040,A,"Afundi, Patrick",Course Text,.
APT1040,A,"Afundi, Patrick",Course Text,N/A
APT1040,A,"Afundi, Patrick",Course Text,Good
APT1040,A,"Afundi, Patrick",Course Text,N/A
APT1040,A,"Afundi, Patrick",Resources,videos should be added to support your learning?
APT1040,A,"Afundi, Patrick",Resources,N/A
APT1040,A,"Afundi, Patrick",Resources,N/A
APT1040,A,"Afundi, Patrick",Resources,n/a
APT1040,A,"Afundi, Patrick",Resources,N/A
APT1040,A,"Afundi, Patrick",Resources,n/a
APT1040,A,"Afundi, Patrick",Resources,None
APT1040,A,"Afundi, Patrick",Resources,N/A
APT1040,A,"Afundi, Patrick",Resources,None
APT1040,A,"Afundi, Patrick",Resources,none
APT1040,A,"Afundi, Patrick",Resources,N/A
APT1040,A,"Afundi, Patrick",Resources,N/A
APT1040,A,"Afundi, Patrick",Resources,GOOD
APT1040,A,"Afundi, Patrick",Resources,good
APT1040,A,"Afundi, Patrick",Resources,good
APT1040,A,"Afundi, Patrick",Resources,None
APT1040,A,"Afundi, Patrick",Resources,Videos Coding references .
APT1040,A,"Afundi, Patrick",Resources,.
APT1040,A,"Afundi, Patrick",Resources,none
APT1040,A,"Afundi, Patrick",Resources,none
APT1040,A,"Afundi, Patrick",Resources,NA
APT1040,A,"Afundi, Patrick",Resources,....
APT1040,A,"Afundi, Patrick",Resources,good
APT1040,A,"Afundi, Patrick",Resources,None
APT1040,A,"Afundi, Patrick",Resources,...
APT1040,A,"Afundi, Patrick",Resources,None
APT1040,A,"Afundi, Patrick",Overall,GOOD
APT1040,A,"Afundi, Patrick",Overall,good
APT1040,A,"Afundi, Patrick",Overall,Excellent
APT1040,A,"Afundi, Patrick",Overall,good
APT1040,A,"Afundi, Patrick",Overall,good
APT1040,A,"Afundi, Patrick",Overall,EXCELLENT
APT1040,A,"Afundi, Patrick",Overall,good
APT1040,A,"Afundi, Patrick",Overall,good
APT1040,A,"Afundi, Patrick",Overall,Good
APT1040,A,"Afundi, Patrick",Overall,good
APT1040,A,"Afundi, Patrick",Overall,.
APT1040,A,"Afundi, Patrick",Overall,....
APT1040,A,"Afundi, Patrick",Overall,"The lecturer explains all the concepts in class very well which makes me understand everything in class only. He uses his expertise and diverse knowledge and experience to explain. Also, whenever i wanted help, he would always help me even outside class hours or even outside office hours. Hoping to take the same lecturer for future courses."
APT1040,A,"Afundi, Patrick",Overall,GOOD
APT1040,A,"Afundi, Patrick",Overall,Good
APT1040,A,"Afundi, Patrick",Overall,Good
APT1040,A,"Afundi, Patrick",Overall,good
APT1040,A,"Afundi, Patrick",Overall,Good
APT1040,A,"Afundi, Patrick",Overall,Good
APT1040,A,"Afundi, Patrick",Overall,Good
APT1040,A,"Afundi, Patrick",Overall,excellent
APT1040,A,"Afundi, Patrick",Overall,good
